,ECLI,Datum,verdachte
586,ECLI:NL:RBDHA:2019:3546,11-04-2019,"geboren op [geboortedag] 2002 te [geboortedag] , civielrechtelijk geplaatst in de gesloten accommodatie voor jeugdhulp “ [locatie] ” te [plaats] . De tenlastelegging en het onderzoek op de zitting zijn de basis voor dit vonnis."
587,ECLI:NL:RBAMS:2016:718,11-02-2016,"geboren te [geboorteplaats] (Somalië) op [1982] , zonder vaste woon- of verblijfplaats in Nederland, thans uit andere hoofde gedetineerd in het Huis van Bewaring “ [locatie] ” te [plaats] ."
588,ECLI:NL:RBALM:2010:BK8911,08-01-2010,"geboren te [geboorteplaats] op [1989], wonende te [woonadres], na splitsing ter terechtzitting op grond van artikel 285, derde lid, Wetboek van Strafvordering. terechtstaande ter zake dat: hij op of omstreeks 1 januari 2010 te Hengelo, gemeente Hengelo (O), wederrechtelijk is binnengedrongen in een besloten lokaal gelegen aan de Pastoriestraat en in gebruik bij horecagelegenheid De Twins, althans bij een ander of anderen dan bij verdachte; art 138 lid 1 Wetboek van Strafrecht Gezien de stukken; Gelet op het onderzoek ter terechtzitting, waarop door de politierechter erop is gewezen dat een aantal aanverwante zaken in het voorbije jaar naar de meervoudige kamer zijn verwezen opdat in die zaken gelegenheid bestaat tot nader opsporingsonderzoek naar de feiten, alsook om het openbaar ministerie gelegenheid te bieden om antwoorden te formuleren op een aantal fundamentele juridische vragen; Gehoord officier van justitie, die vordert dat het onderzoek in deze zaak wordt aangehouden zodat hij nader onderzoek kan doen naar de feiten en de juridische vraagpunten, en gehoord de raadsvrouwe van de verdachte die de voorkeur heeft voor onmiddellijke afdoening omdat zij van mening is dat haar cliënt moet worden vrijgesproken. De politierechter overweegt als volgt. Uit het “proces-verbaal van relaas” blijkt dat aan de verbalisant [naam verbalisant] is gebleken dat uit navraag bij het INFO-centrum bleek dat verdachte een rode kaart (collectief horecaverbod) had voor de Vereniging Horeca Binnenstad Hengelo. Hierbij is volgens de verbalisant ook danscafé Twins aangesloten. Waar hem dat uit blijkt wordt door hem niet genoteerd, evenmin als of dat ook reeds het geval was toen het zogenoemde horecaverbod beweerdelijk werd uitgereikt. In het dossier is verder ingevoegd een kleurenkopie van de voorzijde van die uitgereikte Rode Kaart en een volgens de verbalisant bij die kaart behorende kleurenfoto, met verdachtes naam erboven. Niet duidelijk is door wie en wanneer die foto genomen is en waarom de daarop afgebeelde persoon aan het maken daarvan heeft meegewerkt. Ter zitting is gebleken dat de man op de foto grote gelijkenis vertoont met verdachte. In het bijzonder wordt ook niet duidelijk uit het proces-verbaal hoe en door wie die kaart is uitgereikt en wat daarbij verder aan informatie is gegeven. Op de kaart zelf staat niet wat de ontvanger voortaan niet meer zou mogen en ook niet wie hem dit wanneer meedeelt en waar degene die de kaart uitreikt, het recht daartoe vandaan haalt. Er staat een klein logo van de Politie Twente op en een klein logo van Horeca Nederland, en in tekst boven dit laatstgenoemde logo staat er, alsof het de afzender is – naast de handtekening van de ontvanger – Koninklijke Horeca Nederland. Heel klein in de hoek staat nog een motto van de politie &lt;&lt; waakzaam en dienstbaar &gt;&gt; en een grote gele Smiley met een overdreven grote hand. Op de kaart is een paar vakjes met de handgeschreven ingevuld. Zo is er een vakje Ondernemersvereniging waarin “Vereniging Binnenstad Hengelo VHBH” in ingevuld, er staat ingevuld in het vakje Geldigheidsduur Horecaverbod: 24 maanden eindigend op 7 juni 2010. In het vakje strafbaar feit staat: negeren lokaalverbod Roetie en bedreigen personeel disco New York. Kort samengevat: de kaart wekt de indruk informatie te verschaffen of daarvoor bedoeld te zijn, maar de relevantie van de verstrekte informatie is de politierechter niet duidelijk, terwijl uit de kaart niet blijkt wie de afzender is en wat die nu eigenlijk wil zeggen. In het bijzonder blijkt op die kaart nergens uit dat verdachte de toegang ontzegd was om op 1 januari 2010 een bezoek te brengen aan horecagelegenheid De Twins. De verbalisant [naam] noteert echter wel op bladzijde 5 van zijn proces-verbaal dat verdachte tijdens het verhoor verklaarde “dat hij wist dat hij een rode kaart had voor de horeca in de binnenstad van Hengelo en dat hij dacht dat danscafé Twins niet bij de keten was aangesloten, en dat hij dit allemaal niet in zijn verklaring wilde hebben staan.” Ook ter terechtzitting heeft verdachte verklaard dat hij wist dat hij een rode kaart had gekregen, dat daarbij geen lijst is overhandigd van aangesloten bedrijven en dat hij meende dat Twins niet was aangesloten, hetgeen hij meende te weten omdat hij het zelf ook in het verleden al eens “aan de baas van Twins” had gevraagd. Voordat echter toegekomen kan worden aan de bewijsvraag zijn er een aantal voorvragen te beantwoorden, waarbij in het bijzonder de in artikel 348 Sv genoemde ontvankelijkheid van het openbaar ministerie discussie overweging behoeft. Zoals in drie eerdere zaken die deze politierechter vanaf begin 2009 heeft behandeld is opgemerkt, valt er over het collectief horeca verbod en het collectief winkelverbod het nodige te overwegen. Sommige relevante rechtsvragen raken dermate aan de wortel van de rechtstaat en daarmee ook aan de ontvankelijkheid van de officier van justitie dat nader onderzoek geïndiceerd is, ook zonder daartoe strekkende wens van de zijde van de verdediging; het is de ambtshalve plicht van de rechter op grond van artikel 348 Wetboek van Strafvordering. Overigens zijn ze ook relevant voor de te beantwoorden bewijsvraag van artikel 350 Wetboek van Strafvordering, zodat ook om die reden nader onderzoek passend is. Over het Collectief Horecaverbod Deze zaak betreft het zogenaamde collectief horecaverbod, ook wel collectieve horecaontzegging genoemd. Over het aanverwante Collectief Winkelverbod, in andere gemeenten ook wel Collectieve Winkelontzegging genoemd is eerder door deze politierechter al het volgende overwogen. Blijkens informatie op sites als die van Het Centrum voor Criminaliteitspreventie en Veiligheid  http://www.hetccv.nl/instrumenten/Keurmerk+Veilig+Ondernemen/index, is het collectief horecaverbod een instrument binnen het keurmerk Veilig Uitgaan zoals het collectief winkelverbod een instrument is van het Keurmerk Veilig Ondernemen. Dat laatste Keurmerk is volgens het CVV een instrument om maatschappelijke veiligheid te vergroten. Naast inbraak-, brand- en overvalpreventie wordt daarmee ook ingezet op het terugbrengen van criminaliteit en overlast in winkelgebieden. Wat het terugbrengen van criminaliteit en overlast in winkels betreft werken ondernemers, politie, het openbaar ministerie, gemeenten en eventueel andere private of publieke partijen daarbij samen om aan de eisen van het Keurmerk te voldoen voor (bepaalde delen van) steden of dorpen. Voor het Keurmerk Veilig Uitgaan in de horeca geldt mutatis mutandis hetzelfde, leidt de politierechter af uit hetgeen is vermeldt op de website van het regionaal platform criminaliteitspreventie Twente, www.rpctwente.nl/html/contrib/rpctwente/rpctwente.php Uit de site over het winkelverbod blijkt verder het volgende: Ondernemers die in de door het KVO gecertificeerde gebieden van een gemeente meedoen aan het Keurmerk Veilig Ondernemen, komen op een lijst die op het internet voor iedereen is te raadplegen. Bovendien plakken zij een sticker bij de entree van hun winkel. De eerste keer dat een persoon bij een aangesloten winkelondernemer op heterdaad betrapt wordt op (poging tot) winkeldiefstal krijgt hij van de politie een gele kaart of, indien de winkeldiefstal met agressie gepaard ging, een rode kaart met een geldigheidsduur van 24 maanden uitgereikt. Na een gele kaart wordt, bij recidive binnen een half jaar, een rode kaart uitgereikt met een geldigheidsduur van 12 maanden. De politie overhandigt de kaart en houdt daarvan een registratie bij. De politie zorgt er vervolgens voor dat de personalia en een foto op een alleen door de ondernemers en hun personeel te raadplegen site in te zien zijn. Over het collectief horecaverbod, of collectieve horecaontzegging, wordt op de eerder genoemde website nog het volgende vermeld: Horeca De geregistreerde horecaondernemer (deelnemer) is zelf verantwoordelijk voor de veiligheid in zijn onderneming en de naleving van het collectief horecaverbod. Een deelnemer registreert zich middels de aanmeldkaart bij de SCT en gaat daarbij akkoord met de inhoud van het convenant CHV. Hierbij is de deelnemer verplicht om zijn deelname kenbaar te maken aan het uitgaanspubliek doormiddel van het opplakken van de deelnemerssticker bij de ingang van de horecaonderneming. Bij het uitreiken van een rode kaart is de deelnemer verantwoordelijk voor het versturen van de gegevens van de rode kaarthouder (inclusief foto) naar de SCT voor plaatsing op de besloten website. Deze besloten website kan enkel geraadpleegd worden door de bij het collectief horecaverbod aangesloten deelnemers. Politie De politie is verantwoordelijk voor de veiligheid in het publieke domein en zal in geval van een strafbaar feit bij een aangesloten horecaonderneming de betrokkene een gele dan wel rode kaart overhandigen. Tevens is de politie aanspreekbaar op het aanleveren van een foto voor de besloten website, wanneer de horecaonderneming deze niet heeft."
589,ECLI:NL:RBMNE:2020:3324,18-08-2020,", geboren op [1991] te [geboorteplaats] , wonende aan de [adres] , [woonplaats] ."
590,ECLI:NL:RBGEL:2019:1418,28-03-2019,"geboren op [geboortedatum] 1995 te [geboorteplaats] , wonende te [adres] , raadsman: mr. E. Klijn, advocaat te Arnhem. Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzittingen van 12 april 2018 en 14 maart 2019."
591,ECLI:NL:RBOBR:2017:3496,09-06-2017,"geboren te Bakel en Milheeze op [geboortedatum] 1990, wonende te [adres] . Als raadsman is ter terechtzitting verschenen mr. P.J. van den Hoogen, advocaat te Eindhoven, kantoorgenoot van en waarnemend voor mr. J.W.J. van den Broek, advocaat te Eindhoven. De politierechter vermaant verdachte/veroordeelde oplettend te zijn op hetgeen zij zal horen en deelt haar mede dat zij niet tot antwoorden verplicht is. De officier van justitie draagt de zaak voor. Voor zover op deze terechtzitting verklaringen zijn afgelegd, zijn deze steeds zakelijk weergegeven. De politierechter deelt mondeling mede de korte inhoud van: - een dossier van de Nationale Politie, eenheid Oost-Brabant, district Eindhoven, basisteam Eindhoven-Noord, met dossiernummer PL2100-2017077055, afgesloten d.d. 16 april 2017, aantal doorgenummerde bladzijden: aantal blz. 25. Dit dossier bevat een verzameling wettig opgemaakte processen-verbaal die in de onderhavige zaak in het kader van het opsporingsonderzoek zijn opgemaakt alsmede (eventueel) andere bescheiden; - een uittreksel uit het documentatieregister d.d. 14 april 2017 betreffende verdachte/veroordeelde. De verdachte/veroordeelde verklaart:"
592,ECLI:NL:RBLIM:2017:3945,26-04-2017,"geboren te [geboortegegevens] , wonende te [adresgegevens] . De verdachte wordt bijgestaan door mr. B.H.M. Nijsten, advocaat kantoorhoudende te Cadier en Keer. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 14 april 2017. De verdachte en zijn raadsman zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt."
593,ECLI:NL:RBDOR:2011:BQ1669,12-04-2011,"geboren te [geboorteplaats] (Marokko) op [in 1975], wonende te [woonplaats], thans gedetineerd in de P.I. Dordrecht te Dordrecht, hierna: verdachte. Raadsvrouw mr. E.D van Elst, advocaat te Veenendaal. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 29 maart 2011, waarbij de officier van justitie mr. W.A. van Natijne, de verdachte en zijn raadsvrouw hun standpunten kenbaar hebben gemaakt."
594,ECLI:NL:RBGRO:2007:BB1454,09-08-2007,geboren op [geboorte datum] te ][geboorteplaats] wonende te [woonplaats] thans verblijvende in P.I. [adres PI] Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 26 juli 2007.
595,ECLI:NL:RBNHO:2021:4770,26-05-2021,", geboren op [geboortedatum] te [geboorteplaats], ingeschreven in de basisregistratie personen op het adres: [adres 1], thans gedetineerd in Justitieel Complex Schiphol. De rechtbank heeft de zaken, die bij afzonderlijke dagvaardingen onder de bovenvermelde parketnummers zijn aangebracht, gevoegd. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. D. Sarian en van hetgeen de verdachte en zijn raadsman, mr. H. Blaauw, advocaat te Haarlem, naar voren hebben gebracht."
596,ECLI:NL:RBAMS:2012:BY3871,20-09-2012,"geboren te [plaats] op [1993], ingeschreven in de gemeentelijke basisadministratie persoonsgegevens op het adres [adres] te [plaats]. Adres moeder: [adres], postcode plaats]; Feitelijke verblijfplaats: [adres], [postcode plaats]"
597,ECLI:NL:RBSGR:2012:BW9020,20-06-2012,"geboren op [geboortedatum] 1959 te [geboorteplaats], thans gedetineerd in de penitentiaire inrichting Zwolle te Zwolle."
598,ECLI:NL:RBDHA:2020:7460,06-08-2020,"geboren op [geboortedatum] 1999 te [geboorteplaats] , BRP-adres: [adres] , thans gedetineerd in de penitentiaire inrichting, huis van bewaring “ [adres] ."
599,ECLI:NL:RBAMS:2011:BT2418,19-09-2011,"geboren te [geboorteplaats] op [1993], ingeschreven in de gemeentelijke basisadministratie persoonsgegevens op het adres [adres] [woonplaats], gedetineerd in het Huis van Bewaring ""De Weg"" te Amsterdam."
600,ECLI:NL:RBAMS:2021:1547,16-02-2021,
601,ECLI:NL:RBAMS:2020:4932,09-10-2020,"geboren op [geboortedag] 1979 te [geboorteplaats] ( [geboorteland] ), zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in [detentieplaats] ."
602,ECLI:NL:RBAMS:2020:2542,27-03-2020,", geboren te [geboortedag] 1983 op [geboorteplaats] ( [geboorteland] ), zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het Justitieel Complex [locatie] te [plaats] ."
603,ECLI:NL:RBAMS:2019:3526,21-02-2019,", geboren te [geboorteplaats] ( [land van herkomst] ) op [geboortedag] 1972, ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] , gedetineerd in het Huis van Bewaring “ [detentie adres] ."
604,ECLI:NL:RBROT:2018:3536,10-01-2018,"geboren te [geboorteplaats verdachte] ( [geboorteland verdachte] ) op [geboortedatum verdachte] , thans gedetineerd in het Detentiecentrum Alphen aan den Rijn, bijgestaan door mr. K. Cras, advocaat te Amsterdam."
605,ECLI:NL:RBDHA:2014:9481,18-07-2014,", geboren op [geboortedatum] 1971 te [geboorteplaats], thans zonder bekende woon- of verblijfplaats hier te lande."
606,ECLI:NL:RBMNE:2013:BZ0616,31-01-2013,"geboren te [geboorteplaats] op [1981], ingeschreven in de gemeentelijke basisadministratie persoonsgegevens op het adres [woonplaats], [adres]."
607,ECLI:NL:RBZUT:2011:BQ3969,10-05-2011,"geboren te [plaats] (Nederlandse Antillen) op [1969], wonende te [plaats], thans gedetineerd in het huis van bewaring te Doetinchem. Raadsman: mr. K. Kok, advocaat te Zwolle. Onderzoek van de zaak Dit vonnis is gewezen naar aanleiding van het onderzoek op de terechtzitting van 26 april 2011."
608,ECLI:NL:RBAMS:2021:3880,22-07-2021,"geboren te [geboorteplaats] op [geboortedag] 1969, ingeschreven in de Basisregistratie Personen op het adres [BRP-adres] , gedetineerd in het [detentie plaats]"
609,ECLI:NL:RBNHO:2020:4041,02-06-2020,"geboren op [geboortedatum], zonder bekende woon- of verblijfplaats hier te lande, thans gedetineerd in P.I. Ter Apel, Huis van Bewaring. De politierechter heeft de zaak onder 15.263423.19 naar deze kamer verwezen. De rechtbank heeft de zaak, die bij afzonderlijke dagvaarding onder de bovenvermelde parketnummer is aangebracht, gevoegd. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie mr. A. van Loon en van hetgeen verdachte en zijn raadsvrouw mr. D.E. Oud, advocaat te Wormerveer, naar voren hebben gebracht."
610,ECLI:NL:RBOBR:2019:4544,06-08-2019,"geboren te [geboorteplaats] op [geboortedatum] , wonende te [adres] , thans gedetineerd te: [detentiecentrum] . Dit vonnis is op tegenspraak gewezen naar aanleiding van het onderzoek ter terechtzitting van 23 juli 2019. De rechtbank heeft kennisgenomen van de vordering van de officier van justitie en van hetgeen van de zijde van verdachte naar voren is gebracht."
611,ECLI:NL:RBOBR:2017:3494,09-06-2017,"geboren te Kozan, Griekenland, op [geboortedatum] 1998, zonder vaste woon- of verblijfplaats hier ten lande, is niet verschenen. De politierechter verleent verstek tegen de niet verschenen verdachte en beveelt dat de behandeling van de zaak buiten zijn aanwezigheid wordt voortgezet. De officier van justitie draagt de zaak voor. De politierechter deelt mede de korte inhoud van:"
612,ECLI:NL:RBMNE:2013:CA3526,28-05-2013,"geboren te [geboorteplaats] op [1994], wonende [adres] te ([postcode ] [woonplaats]"
613,ECLI:NL:RBAMS:2020:4760,26-08-2020,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1990, niet ingeschreven in de Basisregistratie Personen, opgegeven woonadres [adres 1] , [plaats 1] , gedetineerd in de Penitentiaire Inrichting “ [locatie] ” te [plaats 2] ."
614,ECLI:NL:RBGEL:2020:4336,24-08-2020,"geboren op [geboortedag] 1971 te [geboorteplaats] (Polen), zonder vaste woon- of verblijfplaats in Nederland, thans gedetineerd te P.I. Vught, BPG in Vught, raadsvrouw: mr. W.M.L. van Koningsveld, advocaat te Oss. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting op 6 juli 2020 en 10 augustus 2020."
615,ECLI:NL:RBZWB:2014:98,13-01-2014,"geboren op [geboortedatum] te [geboorteplaats] wonende te [woonplaats] gedetineerd in het huis van bewaring De Boschpoort te Breda raadsman mr. G.J.P.M. Mooren, advocaat te Goirle. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 17 december 2013, waarbij de officier van justitie, mr. Van Aken, en de verdediging hun standpunten kenbaar hebben gemaakt. Het onderzoek is vervolgens gesloten op 7 januari 2014."
616,ECLI:NL:RBMAA:2010:BM1228,23-03-2010,"geboren [geboortegegevens verdachte], wonende [adresgegevens verdachte]. Raadsman is mr. D.M. Penn, advocaat te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 9 maart 2010, waarbij de officier van justitie, de raadsman en de verdachte hun standpunten kenbaar hebben gemaakt."
617,ECLI:NL:RBAMS:2020:1329,25-02-2020,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1991, zonder vaste woon- of verblijfplaats in Nederland, wonende op het adres [verblijfadres verdachte] ."
618,ECLI:NL:RBNNE:2019:3931,19-09-2019,"geboren op [geboortedatum] 2005 te [geboorteplaats] , gedetineerd te Juvaid locatie Veenhuizen. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 5 september 2019. Verdachte is verschenen, bijgestaan door mr. P.R. Logemann, advocaat te Harlingen. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. A. Hertogs."
619,ECLI:NL:RBAMS:2020:4931,09-10-2020,"geboren te [geboorteplaats] ( [geboorteland] ) op [geboorteland] 1996, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in [detentieplaats] ."
620,ECLI:NL:RBAMS:2020:2714,28-05-2020,"Afdeling Publiekrecht Teams Strafrecht Parketnummer: 13/251717-19 (Promis) Datum uitspraak: 28 mei 2020 Vonnis van de rechtbank Amsterdam, meervoudige kamer voor de behandeling van strafzaken, in de zaak tegen: geboren te [geboorteplaats] op [geboortedag] 2000, ingeschreven in de Basisregistratie Personen op het adres [adres] , [woonplaats] . Verdachte was bij de behandeling van zijn strafzaak aanwezig."
621,ECLI:NL:RBAMS:2019:5566,17-07-2019,", geboren te [geboorteplaats] op [geboortedag] 1965, ingeschreven in de Basisregistratie Personen op het adres:[detentieplaats] ."
622,ECLI:NL:RBAMS:2017:6861,22-09-2017,", geboren te [geboorteplaats] ( [land van herkomst] ) op [geboortedag] 1977, ingeschreven in de basisregistratie personen op het adres [adres 1] , gedetineerd in het [detentieadres] ."
623,ECLI:NL:RBNNE:2014:5779,25-11-2014,"geboren te [geboorteplaats] op [geboortedatum], wonende te [woonplaats], thans verblijvende in P.I. Veenhuizen, [adres] Het onderzoek ter terechtzitting heeft plaatsgehad op 11 november 2014. De verdachte is verschenen en werd bijgestaan door mr. R.J.J. Bosma te Spier."
624,ECLI:NL:RBZLY:2008:BE0080,07-08-2008,
625,ECLI:NL:RBDHA:2016:13712,11-11-2016,", geboren op [geboortedag] 1974 te [geboorteplaats] (Algerije), Z.V.W.OV.H.T.L thans gedetineerd in de penitentiaire inrichting huis van bewaring “Ter Apel”, te Ter Apel."
626,ECLI:NL:RBLIM:2017:6474,07-07-2017,"geboren te [geboortegegevens verdachte] , wonende te [adresgegevens verdachte] . De verdachte wordt bijgestaan door mr. W.J.J. Lunsingh Tonckens en mr. F.F. Driessen, beiden advocaat kantoorhoudende te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 23 juni 2017. De verdachte en zijn raadsman respectievelijk raadsvrouw zijn verschenen. De officier van justitie en de verdediging hebben hun standpunten kenbaar gemaakt. Als deskundige is [naam reclasseringswerker] , reclasseringswerker, ter terechtzitting gehoord. Voorts zijn ter terechtzitting de vorderingen behandeld van de benadeelde partijen [naam nabestaande slachtoffer 1 - 1] (nabestaande van [slachtoffer 1] ) en [slachtoffer 2] . Ten slotte heeft [naam nabestaande slachtoffer 1 - 2] als nabestaande van het slachtoffer [slachtoffer 1] gebruikt gemaakt van het spreekrecht."
627,ECLI:NL:RBROT:2018:11323,05-12-2018,"geboren te Curaçao (Nederlandse Antillen) op [geboortedatum verdachte] , laatst opgegeven woon- of verblijfplaats: [adres verdachte] te [woonplaats verdachte] , ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de PI Krimpen aan den IJssel, raadsman mr. G.E. Toxopéus, advocaat te Rotterdam."
628,ECLI:NL:RBAMS:2018:2556,18-04-2018,", geboren te [geboortegegevens] 1978, zonder vaste woon- of verblijfplaats in Nederland, gedetineerd in het [detentieadres] ."
629,ECLI:NL:RBZLY:2011:BR2469,04-07-2011,"geboren in [geboortejaar] te [geboorteplaats], wonende [woonplaats], thans verblijvende in de [penitentiaire inrichting]"
630,ECLI:NL:RBHAA:2008:BG7416,05-12-2008,"geboren op [datum] 1969 te [geboorteplaats], wonende te [adres], thans gedetineerd in [Huis van Bewaring]."
631,ECLI:NL:RBAMS:2020:1328,25-02-2020,"geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1978, zonder vaste woon- of verblijfplaats in Nederland, wonende op het adres [verblijfsadres verdachte] ."
632,ECLI:NL:RBARN:2011:BQ1811,20-04-2011,
633,ECLI:NL:RBROT:2008:BI3779,22-09-2008,"geboren op [geboortedatum] 1961 te [geboorteplaats], zonder vaste woon- of verblijfplaats, ten tijde van het onderzoek op de terechtzitting preventief gedetineerd in de Penitentiaire Inrichtingen Rijnmond, Stadsgevangenis te Rotterdam, raadsman mr. W.A.E.M. Amesz, advocaat te Rotterdam. ONDERZOEK OP DE TERECHTZITTING Het onderzoek op de terechtzitting heeft plaatsgevonden op 8 september 2008."
634,ECLI:NL:RBDHA:2020:6062,30-06-2020,"geboren op [geboortedag] 1961 te [geboorteplaats] , thans gedetineerd in de penitentiaire inrichting Middelburg, locatie Torentijd, te Middelburg."
635,ECLI:NL:RBAMS:2019:4740,19-06-2019,"geboren op [geboortedag] 1984 te [geboorteplaats 2] ( [geboorteland] ), zonder vaste woon- of verblijfplaats in Nederland, thans gedetineerd in het Huis van Bewaring [detentieplaats] ."
636,ECLI:NL:RBMNE:2016:2975,24-03-2016,"geboren op [1975] te [geboorteplaats] , thans gedetineerd in het Huis van Bewaring “ [verblijfplaats] ” te [vestigingsplaats] ."
637,ECLI:NL:RBUTR:2011:BT2873,27-09-2011,"geboren op [1988] te [geboorteplaats], wonende te [woonplaats], [adres]."
638,ECLI:NL:RBUTR:2011:BU1968,20-09-2011,"geboren op [1971] te [geboorteplaats], wonende te [adres], [woonplaats], raadsman mr. W.C. den Daas, advocaat te Utrecht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 6 september 2011, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
639,ECLI:NL:RBHAA:2010:BO4420,18-11-2010,"geboren op [geboortedatum] 1973 te [geboorteplaats], thans gedetineerd in de Penitentiaire Inrichting Noord-Holland Noord, locatie Amerswiel te Heerhugowaard."
640,ECLI:NL:RBUTR:2010:BM0309,20-01-2010,"geboren op [1964] te [geboorteplaats] (Marokko) wonende te [woonplaats] thans gedetineerd in de P.I. Utrecht, Huis van Bewaring, locatie Wolvenplein raadsman mr. E.H. Bokhorst, advocaat te Veenendaal Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 14 januari 2010, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
641,ECLI:NL:RBZLY:2009:BK8545,10-11-2009,"geboren op [geboortedatum] te [geboorteplaats], wonende te [woonplaats], thans verblijvende in de P.I. Flevoland, Huis van Bewaring Lelystad te Lelystad. Raadsvrouw mr. D.G. Nagel advocaat te Almere. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 27 oktober 2009, waarbij de officier van justitie, mr. M.J.E. Vink, verdachte en zijn raadsvrouw hun standpunten kenbaar hebben gemaakt. Ter zitting is ook de vordering tot tenuitvoerlegging behandeld met bovenvermeld parketnummer."
642,ECLI:NL:RBNNE:2021:1429,16-04-2021,"geboren op [geboortedatum] 2001 te [geboorteplaats], wonende te [straatnaam], [woonplaats], thans gedetineerd te [instelling]. Dit vonnis is gewezen naar aanleiding van het onderzoek ter terechtzitting van 2 april 2021. Verdachte is verschenen, bijgestaan door mr. G. Meijer, advocaat te Veendam. Het openbaar ministerie is ter terechtzitting vertegenwoordigd door mr. R. Janssens."
643,ECLI:NL:RBOVE:2020:4611,30-12-2020,", geboren op [geboortedatum] 1977 in [geboorteplaats] , wonende aan de [woonplaats] ."
644,ECLI:NL:RBMNE:2019:246,25-01-2019,"geboren op [1980] te [geboorteplaats] , thans gedetineerd in Penitentiair Psychiatrisch Centrum Haaglanden, te Scheveningen."
645,ECLI:NL:RBLIM:2014:1468,19-02-2014,"geboren te [geboortegegevens], in preventieve hechtenis verblijvende bij de Mondriaan Zorggroep te Heerlen. Raadsman is mr. A.A.Th.X. Vonken, advocaat te Maastricht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 5 februari 2014, waarbij de officier van justitie, de raadsman en de verdachte hun standpunten kenbaar hebben gemaakt. Ter terechtzitting is [getuige] gehoord als getuige."
646,ECLI:NL:RBAMS:2020:3266,01-07-2020,"geboren op [geboortedag] 1994 te [geboorteplaats] ( [geboorteland] ), ingeschreven in de Basisregistratie Personen op het adres [adres] , gedetineerd in [PI te plaats] ."
647,ECLI:NL:RBDHA:2016:9609,25-07-2016,", geboren op [geboortedatum] te [geboorteplaats] , verblijfadres: [adres] ."
648,ECLI:NL:RBUTR:2012:BX9934,22-08-2012,"geboren op [1972] te [geboorteplaats], wonende te [woonplaats], thans gedetineerd in de P.I. Utrecht, Huis van Bewaring, locatie Wolvenplein raadsvrouw mr. S. Dogan, advocaat te Utrecht. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de terechtzitting van 8 augustus 2012, waarbij de officier van justitie en de verdediging hun standpunten kenbaar hebben gemaakt. Ter terechtzitting zijn overeenkomstig artikel 285 van het wetboek van strafvordering de zaken onder voormelde parketnummers gevoegd."
649,ECLI:NL:RBMAA:2011:BT6280,30-09-2011,"geboren te [geboortegegevens verdachte], wonende te [adresgegevens verdachte], thans gedetineerd in de Penitentiaire Inrichting Zuid Oost – Huis van Bewaring Ter Peel te  Evertsoord. Raadsvrouw is mr. F.W. Oehlen, advocaat te Beek. Onderzoek van de zaak De zaak is inhoudelijk behandeld op de zitting van 16 september 2011, waarbij de officier van justitie, de verdediging en de verdachte hun standpunten kenbaar hebben gemaakt."
650,ECLI:NL:RBAMS:2020:1327,25-02-2020,", geboren te [geboorteplaats] ( [geboorteland] ) op [geboortedag] 1997, zonder vaste woon- of verblijfplaats in Nederland, wonende op het adres [verblijfadres verdachte] ."
